4721.1 4730.3
4844.2 4853
4909.2 4917.7
4990.9 4999.1
5087.3 5099.6
5221.7 5231.2
5285.9 5294.5
5398.1 5407
5446.5 5455
5549.5 5558.4
5609.1 5617.6
5656.2 5664.7
5719.7 5728.8
5777.1 5785.6
5835.7 5844.2
5917.5 5926.3
5974.8 5983.4
6032.1 6040.8
6077.8 6087.6
6126 6135.1
6180.2 6189
6273.9 6286.3
6331.3 6340.6
6441.9 6451.2
6496.5 6507.7
6557.2 6566.6
6613.1 6622.8
6706.6 6725.6
6781.4 6790.7
6887.4 6896.7
6964 6973.1
7033.3 7042.5
7427 7436.4
7486.9 7496.1
7564.8 7574.3
7713.2 7725.5
7816 7825.8
