4792.5 4801.3
4885.2 4893.9
4938.4 4947
5018.5 5027.5
5138.6 5147.5
5260.7 5269.6
5318.1 5327.1
5367.3 5376.5
5525.5 5534.4
5572.1 5580.8
5632.1 5640.7
5688.7 5697.8
5749.9 5758.7
5802 5814.7
5863.6 5872.4
5950.7 5959.8
6001.6 6010.6
6054.3 6063.5
6100.5 6110.2
6155.9 6165.4
6216.7 6225.4
6303.7 6312.8
6382.6 6391.4
6469.6 6478.7
6526.3 6535.8
6586.9 6595.8
6638.9 6659.7
6755.4 6765
6810.5 6820
6936.4 6945.6
6999.1 7008.5
7096.3 7107
7455.7 7464.9
7518.1 7528.7
7593.9 7637.5
7674.2 7684.4
7750.7 7761.6
