4826.1 4837.9
4897.7 4906.5
4977.5 4986.7
5074 5082.6
5210 5218.6
5271.4 5280
5329.1 5337.8
5379.8 5388.2
5434.2 5442.7
5538.2 5546.9
5583.7 5592.9
5643.3 5653.5
5707.4 5716.3
5765.5 5774.3
5824.2 5832.9
5876.9 5885.7
5963.5 5972.4
6020.1 6029.2
6065.7 6075
6113.9 6122.9
6168.1 6177.7
6260.1 6271.2
6317.6 6327.8
6427.5 6437.1
6482.2 6491.6
6540.9 6554.3
6601.2 6610.5
6664.3 6673.3
6767.7 6776.7
6826.9 6836.1
6950.7 6959.7
7012.4 7030.3
7365.7 7375
7473.4 7482.6
7540.6 7549.8
7693.7 7705.3
7798.2 7808.1
